Country,Time for Datawrapper
Argentina,8.42
Australia,6.13
Austria,5.31
Belgium,5.23
Brazil,9.13
Bulgaria,7.29
Canada,6.18
Chile,8.3
China,5.33
Colombia,8.43
Croatia,6.47
Czechia,6.13
Denmark,5.07
Egypt,7.55
France,5.21
Germany,5.22
Greece,5.49
Hong Kong,6.2
Hungary,6.16
India,6.45
Indonesia,7.38
Ireland,6.13
Israel,7.2
Italy,5.49
Japan,3.56
Malaysia,8.17
Mexico,7.37
Netherlands,5.3
New Zealand,6.29
Norway,5.46
Philippines,8.52
Poland,6.16
Portugal,7.3
Romania,6.3
Russia,8.2
Saudi Arabia,7.09
Singapore,6.49
South Africa,9.24
South Korea,5.19
Spain,5.42
Sweden,6.07
Switzerland,5.32
Taiwan,7.13
Thailand,7.58
Turkey,6.57
United Arab Emirates,8.12
United Kingdom,6.02
United States of America,7.03
Vietnam,6.17